Ref,Val,Package,PosX,PosY,Rot,Side
"C401","470uF","GEN_CP_Radial_D8_P3.5",99.250000,-5.000000,0.000000,top
"C402","1uF","C_0603_1608Metric_LOCAL",33.500000,-25.000000,0.000000,top
"C403","4.7uF","C_0603_1608Metric_LOCAL",30.500000,-25.000000,0.000000,top
"C404","10uF","C_0603_1608Metric_LOCAL",38.000000,-18.000000,0.000000,top
"C405","10uF","C_0603_1608Metric_LOCAL",49.000000,-14.000000,0.000000,top
"D401","SS14","D_SOD123_LOCAL",46.500000,-10.000000,0.000000,top
"J201","TSOP4838_C124647","GEN_PinHeader_1x3_P2.54",98.250000,28.000000,0.000000,top
"J202","IR333-A_C264290","GEN_PinHeader_1x3_P2.54",92.250000,28.000000,0.000000,top
"J301","LED_CHAIN","GEN_PinHeader_1x3_P2.54",92.250000,3.000000,0.000000,top
"J302","LCD_I2C","GEN_PinHeader_1x4_P2.54",92.250000,-7.000000,0.000000,top
"J400","BATTERY_LIPO","GEN_PinHeader_1x2_P2.54",22.250000,-8.000000,0.000000,top
"J401","BAT_CHG_BOOST","GEN_PinHeader_1x4_P2.54",22.250000,-18.000000,0.000000,top
"J402","USB_C_CHG_IN","USB_C_Receptacle_GCT_USB4125_6P_LOCAL",51.125000,36.000000,0.000000,top
"L401","4.7uH","L_Boost_5x5_LOCAL",44.000000,-14.000000,0.000000,top
"R401","330R","R_0805_2012Metric_LOCAL",79.060000,3.000000,0.000000,top
"R402","5.1k","R_0603_1608Metric_LOCAL",11.500000,-28.000000,90.000000,top
"R403","5.1k","R_0603_1608Metric_LOCAL",12.500000,-28.000000,90.000000,top
"R404","2k","R_0603_1608Metric_LOCAL",40.000000,-27.050000,0.000000,top
"R405","100k","R_0603_1608Metric_LOCAL",42.000000,-18.000000,0.000000,top
"R406","22k","R_0603_1608Metric_LOCAL",42.000000,-20.000000,0.000000,top
"SW1","SW_Push","Kailh_Hotswap_MX_1U_Custom",9.525000,-9.525000,0.000000,top
"SW2","SW_Push","Kailh_Hotswap_MX_1U_Custom",9.525000,-33.337000,0.000000,top
"SW3","SW_Push","Kailh_Hotswap_MX_1U_Custom",28.575000,-33.337000,0.000000,top
"SW4","SW_Push","Kailh_Hotswap_MX_1U_Custom",47.625000,-33.337000,0.000000,top
"SW5","SW_Push","Kailh_Hotswap_MX_1U_Custom",66.675000,-33.337000,0.000000,top
"SW6","SW_Push","Kailh_Hotswap_MX_1U_Custom",85.725000,-33.337000,0.000000,top
"SW7","SW_Push","Kailh_Hotswap_MX_1U_Custom",9.525000,-52.388000,0.000000,top
"SW8","SW_Push","Kailh_Hotswap_MX_1U_Custom",28.575000,-52.388000,0.000000,top
"SW9","SW_Push","Kailh_Hotswap_MX_1U_Custom",47.625000,-52.388000,0.000000,top
"SW10","SW_Push","Kailh_Hotswap_MX_1U_Custom",66.675000,-52.388000,0.000000,top
"SW11","SW_Push","Kailh_Hotswap_MX_1U_Custom",85.725000,-52.388000,0.000000,top
"SW12","SW_Push","Kailh_Hotswap_MX_1U_Custom",9.525000,-71.438000,0.000000,top
"SW13","SW_Push","Kailh_Hotswap_MX_1U_Custom",28.575000,-71.438000,0.000000,top
"SW14","SW_Push","Kailh_Hotswap_MX_1U_Custom",47.625000,-71.438000,0.000000,top
"SW15","SW_Push","Kailh_Hotswap_MX_1U_Custom",66.675000,-71.438000,0.000000,top
"SW16","SW_Push","Kailh_Hotswap_MX_1U_Custom",85.725000,-71.438000,0.000000,top
"SW17","SW_Push","Kailh_Hotswap_MX_1U_Custom",9.525000,-90.487000,0.000000,top
"SW18","SW_Push","Kailh_Hotswap_MX_1U_Custom",28.575000,-90.487000,0.000000,top
"SW19","SW_Push","Kailh_Hotswap_MX_1U_Custom",47.625000,-90.487000,0.000000,top
"SW20","SW_Push","Kailh_Hotswap_MX_1U_Custom",66.675000,-90.487000,0.000000,top
"SW21","SW_Push","Kailh_Hotswap_MX_1U_Custom",85.725000,-90.487000,0.000000,top
"SW22","SW_Push","Kailh_Hotswap_MX_1U_Custom",9.525000,-109.538000,0.000000,top
"SW23","SW_Push","Kailh_Hotswap_MX_1U_Custom",28.575000,-109.538000,0.000000,top
"SW24","SW_Push","Kailh_Hotswap_MX_1U_Custom",47.625000,-109.538000,0.000000,top
"SW25","SW_Push","Kailh_Hotswap_MX_1U_Custom",66.675000,-109.538000,0.000000,top
"SW26","SW_Push","Kailh_Hotswap_MX_1U_Custom",85.725000,-109.538000,0.000000,top
"SW401","RotaryEncoder_Switch","GEN_RotaryEncoder_EC11_Switch",78.250000,-15.000000,0.000000,top
"U402","AMS1117-3.3","SOT-223-3_TabPin2_LOCAL",31.000000,-14.000000,0.000000,top
"U403","MCP73831","SOT-23-5_LOCAL",36.000000,-28.000000,0.000000,top
"U404","MT3608","SOT-23-6_LOCAL",39.000000,-14.000000,0.000000,top
"U901","ESP32-S3-WROOM-1-N8R8","ESP32-S3-WROOM-1_LOCAL",75.250000,23.000000,0.000000,top
