"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C?","1","470uF","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"D?,D?,D?,D?,D?,D?,D?,D?,D?,D?,D?,D?,D?,D?,D?,D?,D?,D?,D?,D?,D?,D?,D?,D?,D?,D?","26","D","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"J?","1","LCD_SPI_PWRDATA","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J?","1","BATTERY_LIPO","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~"
"J?","1","BAT_PMIC_IO","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J?","1","TOUCH_I2C_SD_IRQ","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J?","1","LCD_SPI_CTRL","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J?","1","TSOP4838_C124647","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J?","1","IR_LED_TX_HDR","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J?","1","LED_CHAIN","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"R?","1","330R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R?","1","220R","","","","Resistor_SMD:R_0603_1608Metric","~"
"SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?,SW?","26","SW_Push","","","","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","~"
"SW?","1","RotaryEncoder_Switch","","","","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles","~"
"U901A?","1","ESP32S3_WROOM1_LEFT","","","","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","~"
"U901B?","1","ESP32S3_WROOM1_RIGHT","","","","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","~"
