rgb_ref,sw_ref,sw_x_mm,sw_y_mm,sw_rot_deg,rgb_x_mm,rgb_y_mm,rgb_rot_deg
RGB1,SW1,9.525,9.525,0.0,9.525,15.525,0.0
RGB2,SW2,9.525,33.337,0.0,9.525,39.337,0.0
RGB3,SW3,28.575,33.337,0.0,28.575,39.337,0.0
RGB4,SW4,47.625,33.337,0.0,47.625,39.337,0.0
RGB5,SW5,66.675,33.337,0.0,66.675,39.337,0.0
RGB6,SW6,85.725,33.337,0.0,85.725,39.337,0.0
RGB7,SW7,9.525,52.388,0.0,9.525,58.388,0.0
RGB8,SW8,28.575,52.388,0.0,28.575,58.388,0.0
RGB9,SW9,47.625,52.388,0.0,47.625,58.388,0.0
RGB10,SW10,66.675,52.388,0.0,66.675,58.388,0.0
RGB11,SW11,85.725,52.388,0.0,85.725,58.388,0.0
RGB12,SW12,9.525,71.438,0.0,9.525,77.438,0.0
RGB13,SW13,28.575,71.438,0.0,28.575,77.438,0.0
RGB14,SW14,47.625,71.438,0.0,47.625,77.438,0.0
RGB15,SW15,66.675,71.438,0.0,66.675,77.438,0.0
RGB16,SW16,85.725,71.438,0.0,85.725,77.438,0.0
RGB17,SW17,9.525,90.487,0.0,9.525,96.487,0.0
RGB18,SW18,28.575,90.487,0.0,28.575,96.487,0.0
RGB19,SW19,47.625,90.487,0.0,47.625,96.487,0.0
RGB20,SW20,66.675,90.487,0.0,66.675,96.487,0.0
RGB21,SW21,85.725,90.487,0.0,85.725,96.487,0.0
RGB22,SW22,9.525,109.538,0.0,9.525,115.538,0.0
RGB23,SW23,28.575,109.538,0.0,28.575,115.538,0.0
RGB24,SW24,47.625,109.538,0.0,47.625,115.538,0.0
RGB25,SW25,66.675,109.538,0.0,66.675,115.538,0.0
RGB26,SW26,85.725,109.538,0.0,85.725,115.538,0.0
